ID_Provinsi;Provinsi;Tahun;Pengangguran;Jumlah AK;Pengeluaran Perkapita;PDRB provinsi;Upah (Rupiah Jam);PP IKM (Y to Y);PDRB (Rupiah) perkapita;Penduduk (ribu jiwa);Gini Ratio;PK-K;PK-M;PK-B;Industri Mikro;Industri Kecil
11;Aceh;2023;157107;2604452;1225976196;4.23;17585;10.64;41424;5409.2;0.296;6904;848;22;106527;3999
12;Sumatera Utara;2023;472085;8021622;1305339354;5.01;17609;5.73;68306;15180.5;0.309;7677;1182;36;119539;7368
13;Sumatera Barat;2023;179505;3024430;1411823462;4.62;16694;1.64;54327;5677.6;0.28;5340;546;38;84077;4144
14;Riau;2023;132454;3134788;1527549355;4.21;18413;-3.17;154522;6555.8;0.324;6024;1005;54;60273;2090
15;Jambi;2023;85576;1887840;1424125.4;4.66;17596;4.82;79836;3633.2;0.343;2566;245;9;33742;792
16;Sumatera Selatan;2023;188511;4588170;1209985965;5.08;16273;15.75;71950;8647.3;0.338;4062;929;40;75282;1934
17;Bengkulu;2023;37845;1107460;1332558.38;4.26;17410;3.77;46285;2059.4;0.333;1184;180;3;25595;936
18;Lampung;2023;207242;4904900;1203017306;4.55;13958;12.43;48194;4496.6;0.324;3764;413;67;77575;3680
19;Kepulauan Bangka Belitung;2023;35812;785627;1727549805;4.38;20141;15.39;67885;1492;0.245;789;101;4;15776;486
21;Kepulauan Riau;2023;74330;1093686;1989702534;5.2;27640;4.49;154179;2121.5;0.34;1740;471;9;25873;394
31;DKI Jakarta;2023;354496;5427233;2791715754;4.96;42354;8.6;322615;10640;0.431;4156;9260;774;69072;10920
32;Jawa Barat;2023;1888287;25391885;1567666154;5;21194;7.55;52651;49306.8;0.425;9845;2775;69;584903;56736
33;Jawa Tengah;2023;1080260;21069135;1209906178;4.98;13381;-4.69;45199;37180.4;0.369;14409;1576;107;811039;51887
34;DI Yogyakarta;2023;81984;2221694;1731559932;5.07;16478;12.35;48358;3712.6;0.449;1490;202;10;129289;4736
35;Jawa Timur;2023;1165587;23868764;1323486256;4.95;15155;4.61;71122;41230;0.387;21090;2363;171;862057;115414
36;Banten;2023;448432;5965088;1743686861;4.81;24685;-4.64;66147;12167;0.368;5147;1426;57;90908;6184
51;Bali;2023;72421;2690237;1741522782;5.71;18521;23.27;62293;4374.3;0.362;1521;199;9;120752;5035
52;Nusa Tenggara Barat;2023;83243;2976225;1260820067;1.8;12933;4.92;29926;5474;0.375;3790;200;18;131958;18004
53;Nusa Tenggara Timur;2023;93815;2990716;9613722258;3.52;14770;26.5;23078;5481.8;0.325;5123;368;32;124566;1374
61;Kalimantan Barat;2023;147574;2922819;1345552263;4.46;19303;21.76;48809;5549.7;0.321;6961;503;41;47435;1021
62;Kalimantan Tengah;2023;57762;1407637;1525785005;4.14;20257;13.8;75294;2737.2;0.317;2062;395;59;27952;599
63;Kalimantan Selatan;2023;93576;2173257;1457344319;4.84;18938;11.75;63779;4170.2;0.313;3513;370;16;64528;2842
64;Kalimantan Timur;2023;103565;1950860;1980274865;6.22;22509;16.49;215761;3856.8;0.322;5682;1322;62;34586;1055
65;Kalimantan Utara;2023;15553;387823;1693576.9;4.94;22366;22.87;201749;720.1;0.277;1052;118;8;5763;207
71;Sulawesi Utara;2023;81201;1332149;1315176486;5.48;19270;12.91;64131;2660.8;0.37;1484;307;12;59112;1849
72;Sulawesi Tengah;2023;47076;1594245;1173679465;11.91;16392;-2.76;112461;3051.2;0.304;3375;315;15;69057;7072
73;Sulawesi Selatan;2023;203500;4694483;1252551242;4.51;17776;1.4;69702;9260.1;0.377;9736;1571;88;119613;4313
74;Sulawesi Tenggara;2023;43894;1395534;1172739179;5.35;18884;5.86;64088;2704.6;0.371;2992;312;18;47415;1738
75;Gorontalo;2023;19904;651425;1228893402;4.5;15138;40.12;42347;1198.4;0.417;557;102;2;38089;836
76;Sulawesi Barat;2023;17273;760280;1036520079;5.25;16387;14.68;39533;1458.9;0.351;1075;65;5;21947;541
81;Maluku;2023;57504;910758;1238170.28;5.21;17156;20.04;30456;1895.1;0.288;1391;263;9;61308;199
82;Maluku Utara;2023;28600;663299;1317159.42;20.49;27078;-0.34;63677;1318.5;0.3;1448;201;7;17016;322
91;Papua Barat;2023;31919;592802;1598253623;3.91;25695;16.22;83275.5;1168.4;0.37;3058;331;21;5553;284
94;Papua;2023;67182;2516129;1509992401;5.22;28570;9.01;64278.75;4429.7;0.386;6315;949;50;12951;465
11;Aceh;2022;157568;2552562;1180132927;4.21;16772;1.07;38900;5334.9;0.291;7476;777;20;108050;448
12;Sumatera Utara;2022;472496;7669870;1216496651;4.73;15131;2.32;62922;14970.5;0.326;8414;1160;26;117806;3108
13;Sumatera Barat;2022;180106;2868270;1342985506;4.36;15887;5.99;50264;5597.3;0.292;5479;477;13;86129;1755
14;Riau;2022;144889;3313818;1425170856;4.55;18626;3.67;151259;6466.8;0.323;6313;1010;29;44623;1863
15;Jambi;2022;86459;1884278;1261836785;5.12;16042;4.84;76164;3586.4;0.335;2816;203;3;32656;339
16;Sumatera Selatan;2022;208256;4497960;1148812471;5.23;15978;14.05;68237;8548.6;0.33;4582;882;35;72707;1349
17;Bengkulu;2022;38619;1076115;1196483763;4.31;16501;0.83;43757;2032.4;0.315;1234;131;2;18435;354
18;Lampung;2022;207965;4595931;1074987433;4.28;13218;25.38;44984;4438.6;0.313;3722;398;5;82715;1818
19;Kepulauan Bangka Belitung;2022;36631;767603;1654280526;4.4;18132;12.71;63872;1471.8;0.255;722;84;1;18756;423
21;Kepulauan Riau;2022;103715;1259712;1831700396;5.09;23528;8.39;145579;2089.9;0.325;1842;637;11;16926;113
31;DKI Jakarta;2022;377294;5252396;2525347369;5.25;32685;12.27;299675;10605.4;0.412;3978;9738;694;45051;10112
32;Jawa Barat;2022;2125606;25578174;1437394.12;5.45;19038;2.07;49137;48738.8;0.412;10436;3019;53;632921;34874
33;Jawa Tengah;2022;1084475;19474934;1121793865;5.31;12604;1.52;41946;36811.1;0.366;14776;1403;32;856144;35964
34;DI Yogyakarta;2022;94945;2336076;1480374281;5.15;14916;7.68;44637;3687.8;0.459;1541;290;8;120731;2841
35;Jawa Timur;2022;1255719;22869012;1165137911;5.34;15119;2.65;66247;40921.1;0.365;21288;2363;101;782131;92366
36;Banten;2022;523013;6463631;1619571708;5.03;23880;4.3;61414;12023;0.377;5539;1497;49;97303;5056
51;Bali;2022;131469;2738539;1442609768;4.84;16857;15.99;56092;4343.4;0.362;1657;204;0;148133;2333
52;Nusa Tenggara Barat;2022;80833;2799178;1160662075;6.95;11734;15.63;28671;5387.2;0.374;3757;168;13;98777;10450
53;Nusa Tenggara Timur;2022;107128;3022421;8841020792;3.05;13012;26.98;21657;5394.4;0.34;5605;360;18;166792;1210
61;Kalimantan Barat;2022;137680;2695203;1232618223;5.07;16337;20.45;46092;5474.7;0.311;6978;378;8;38561;563
62;Kalimantan Tengah;2022;59829;1404304;1442295236;6.45;19795;0.81;72989;2700.1;0.309;1788;284;18;23359;593
63;Kalimantan Selatan;2022;104025;2196250;1407718936;5.11;18661;10.58;60244;4116.9;0.309;3756;444;5;53646;882
64;Kalimantan Timur;2022;105882;1852802;1797485532;4.48;22281;10.66;238917;3803.5;0.317;5578;1329;41;25688;536
65;Kalimantan Utara;2022;16028;370012;1570185984;5.32;20320;13.85;192588;710;0.27;1126;108;15;5221;133
71;Sulawesi Utara;2022;82123;1242088;1236705509;5.42;18335;5.38;59021;2639.5;0.359;1808;294;6;44214;94
72;Sulawesi Tengah;2022;49145;1635465;1083678962;15.22;15890;6.94;106068;3015;0.305;3505;253;4;86280;2299
73;Sulawesi Selatan;2022;205725;4559375;1142611702;5.1;17257;29.73;65350;9156.9;0.365;9917;1351;20;127221;2458
74;Sulawesi Tenggara;2022;46474;1382395;1111595302;5.53;17542;1.56;58715;2659.9;0.366;3074;264;7;44220;233
75;Gorontalo;2022;16284;630534;1142996733;4.04;14289;27.51;39694;1183.5;0.423;691;101;1;30542;561
76;Sulawesi Barat;2022;17545;749447;9559052816;2.31;14774;1.32;37068;1436.7;0.371;1202;64;3;27456;436
81;Maluku;2022;59737;868581;1169828326;5.31;17006;18.78;28526;1869.5;0.306;1687;273;7;33406;207
82;Maluku Utara;2022;24273;609241;1128586348;22.94;18278;2.89;53776;1299.6;0.309;1828;174;5;15977;103
91;Papua Barat;2022;27665;515370;1448505.39;2.01;24128;12.36;78133;1149.4;0.384;3198;380;24;6118;155
94;Papua;2022;56330;1991097;1454320709;8.97;24097;7.35;59384;4356.8;0.393;6832;1064;46;14174;330
11;Aceh;2021;158857;2520157;1137819322;2.81;17037;3.24;34674;5274.9;0.323;7668;925;21;111920;1372
12;Sumatera Utara;2021;475156;7511006;1142716657;2.61;15486;9.71;57442;14799.4;0.313;8822;1360;24;126732;5650
13;Sumatera Barat;2021;179948;2761392;1281658036;3.29;16630;11.98;45218;5534.5;0.3;5804;546;15;94090;2543
14;Riau;2021;145669;3294616;1342670316;3.36;19144;-1.08;129741;6394.1;0.327;6466;1302;39;44976;819
15;Jambi;2021;93754;1840594;1180259757;3.7;16043;10.59;64771;3548.2;0.315;3067;309;5;28754;630
16;Sumatera Selatan;2021;219199;4398907;1096407273;3.58;15873;3.85;57745;8467.4;0.34;4591;955;46;77494;1621
17;Bengkulu;2021;38745;1060520;1138572395;3.27;18271;11.67;39167;2010.7;0.321;1348;146;3;20636;220
18;Lampung;2021;210632;4494952;1030578581;2.77;15224;9.29;40807;9007.8;0.314;3895;436;5;82805;1219
19;Kepulauan Bangka Belitung;2021;37176;738617;1532174118;5.05;17692;5.96;58406;1455.7;0.247;863;92;3;18578;574
21;Kepulauan Riau;2021;119595;1207014;1855295598;3.43;25736;1.92;131884;2064.6;0.339;1927;675;12;17878;147
31;DKI Jakarta;2021;439899;5177314;2336429434;3.55;30662;-3.19;274660;10562.1;0.411;3980;9501;1024;54029;8079
32;Jawa Barat;2021;2430147;24743628;1372659098;3.74;19716;2.05;45234;48274.2;0.406;9786;3023;75;592791;29434
33;Jawa Tengah;2021;1128223;18963993;1048609002;3.33;13072;4.48;38568;36516;0.368;14385;1540;36;808293;47195
34;DI Yogyakarta;2021;106432;2334955;1417870348;5.58;15098;4.89;40516;3668.7;0.436;1518;375;7;103559;4332
35;Jawa Timur;2021;1281395;22319145;1113001946;3.56;14789;2.84;59988;40665.7;0.364;21800;2694;102;681442;80573
36;Banten;2021;562310;6260654;1511256668;4.49;24839;-14.6;55383;11904.6;0.363;5554;1652;64;100260;3568
51;Bali;2021;138669;2580523;1468624108;-2.46;17662;3.91;50758;4317.4;0.375;1758;247;3;146025;2301
52;Nusa Tenggara Barat;2021;82495;2739890;1197547904;2.3;12992;4.8;26009;5320.1;0.384;3869;214;10;97704;9271
53;Nusa Tenggara Timur;2021;109928;2918548;840358607;2.52;16386;-0.79;20555;5325.6;0.339;5656;400;17;155871;434
61;Kalimantan Barat;2021;153307;2635760;1163058259;4.8;16127;7.56;42253;5414.4;0.315;7230;460;11;39480;557
62;Kalimantan Tengah;2021;63874;1410311;1395825.82;3.59;21040;8.49;62834;2670;0.32;1992;339;19;25584;423
63;Kalimantan Selatan;2021;109968;2219395;1383800409;3.48;18874;-2.48;48066;4073.6;0.325;3919;514;6;55968;1107
64;Kalimantan Timur;2021;126186;1846547;1718610805;2.55;23943;1.53;183158;3766;0.331;5386;1391;47;26156;446
65;Kalimantan Utara;2021;16224;354376;1554709858;3.99;22972;2.29;157092;701.8;0.285;1285;156;15;6224;58
71;Sulawesi Utara;2021;85540;1212337;1211679673;4.16;20963;4.02;54034;2621.9;0.359;2074;398;7;52678;625
72;Sulawesi Tengah;2021;59371;1584101;1051705656;11.68;20637;18.62;82017;2985.7;0.326;3681;317;10;87511;1004
73;Sulawesi Selatan;2021;252349;4412782;1104096767;4.64;19217;36.36;59503;9073.5;0.377;9954;1444;26;121537;1343
74;Sulawesi Tenggara;2021;54134;1381203;1070493212;4.1;19302;12.73;52436;2624.9;0.394;3257;334;10;54713;172
75;Gorontalo;2021;17959;596968;1145790115;2.4;14613;22.17;37087;1171.7;0.409;756;120;2;25632;129
76;Sulawesi Barat;2021;22208;708752;8923802974;2.57;18072;7.14;35195;1419.2;0.366;1301;94;1;23720;115
81;Maluku;2021;59589;860344;1112745825;3.63;21156;-9.55;26153;1848.9;0.316;2030;308;9;35253;111
82;Maluku Utara;2021;28133;596831;1129341371;16.79;21131;8.85;40381;1282.9;0.278;1975;258;5;15857;288
91;Papua Barat;2021;29985;513666;1447480991;-0.51;29600;7.43;74022;1134.1;0.374;3035;393;25;5992;77
94;Papua;2021;64996;1952777;1368379109;15.16;30382;29.71;54051;4303.7;0.396;6973;1130;46;15941;168
11;Aceh;2020;166600;2526505;1080171235;-0.37;18099;-8.26;31633;5554.8;0.319;4779;651;18;100728;2572
12;Sumatera Utara;2020;507805;7350057;1124252593;-1.07;15949;-15.64;54979;15588.5;0.314;5853;1068;35;113495;6668
13;Sumatera Barat;2020;190609;2772133;1235050112;-1.61;17571;-13.99;43826;5836.2;0.301;4909;330;19;91079;3313
14;Riau;2020;203837;3226825;1340446.33;-1.13;18411;-14.1;114167;6728.1;0.321;6425;1324;49;48750;1952
15;Jambi;2020;93990;1832993;1126689612;-0.51;15840;-14.04;57958;3724.3;0.316;2628;320;10;25254;831
16;Sumatera Selatan;2020;238363;4329746;1022030287;-0.11;15072;-13.87;53843;8837.3;0.338;2819;695;40;73404;2165
17;Bengkulu;2020;43801;1075682;1140074669;-0.02;17407;-4.85;36552;2112.2;0.323;1212;131;3;19919;514
18;Lampung;2020;209568;4489677;9744239132;-1.66;14912;-19.83;39290;9419.6;0.32;3591;471;11;84452;4074
19;Kepulauan Bangka Belitung;2020;38756;738637;1501843545;-2.29;15763;-20.43;52023;1531.5;0.257;841;85;2;21075;482
21;Kepulauan Riau;2020;117176;1133776;1773521041;-3.8;25032;1.55;123465;2183.3;0.334;1598;404;12;13482;297
31;DKI Jakarta;2020;572780;5232031;2257991477;-2.39;28420;-25.64;262615;10684.9;0.4;1819;7091;804;46084;12933
32;Jawa Barat;2020;2533076;24207930;1324959832;-2.52;19078;-19.63;43237;50345.2;0.398;8251;2765;82;584920;41023
33;Jawa Tengah;2020;1214342;18751277;1018487383;-2.65;12707;-19.93;36965;37892.3;0.359;10186;1225;42;831652;66510
34;DI Yogyakarta;2020;101846;2228162;1411971845;-2.67;15771;-15.91;37694;3759.5;0.437;1416;368;7;133132;4367
35;Jawa Timur;2020;1301145;22264112;1064381897;-2.33;14389;0.69;56641;41814.5;0.364;17533;1796;101;720250;108232
